symbol,expiration,strike,right,dte,margin,undPrice,lot,undId,lo52,hi52,Fall,Rise,Std,loStd,hiStd,optId,optPrice,optMargin,rom,remqty,expPrice,expRom,qty
LMT,20190621,230.0,P,37,2179,336.17,100,611191,241.17,363.0,73.06000000000003,66.16,21.33760881635996,293.4947823672801,400.1828264490799,315930557,0.15,150.83999999999648,0.9809929261003476,1,0.2,1.3079905681337969,1
MCD,20190621,145.0,P,37,1293,198.17000000000002,100,9408,146.84,200.36,31.859999999999985,29.060000000000002,7.4568880034536456,183.25622399309273,220.54066401036096,315934801,0.06,106.91999999999823,0.5535838869172294,2,0.11,1.0149037926815871,2
MCD,20190621,140.0,P,37,1293,198.17000000000002,100,9408,146.84,200.36,31.859999999999985,29.060000000000002,7.4568880034536456,183.25622399309273,220.54066401036096,315934799,0.04,93.02999999999884,0.42415843770246103,2,0.09,0.9543564848305374,2
MCD,20190621,135.0,P,37,1293,198.17000000000002,100,9408,146.84,200.36,31.859999999999985,29.060000000000002,7.4568880034536456,183.25622399309273,220.54066401036096,315934794,0.03,80.38999999999942,0.3681377608482997,2,0.08,0.9817006955954657,2
MDT,20190621,75.0,P,37,567,87.66,100,181387075,76.41,100.15,17.75,12.930000000000007,3.0975226191435357,81.46495476171293,96.95256785743061,316304790,0.38,116.80999999999769,3.2091847004954395,5,0.43,3.631445845297471,1
MDT,20190614,75.0,P,30,567,87.66,100,181387075,76.41,100.15,17.75,12.930000000000007,2.6471232655721577,82.36575346885569,95.60136979671647,365115683,0.31,111.76999999998951,3.374489278578349,5,0.36,3.9187617428651795,1
MDT,20190607,75.0,P,23,567,87.66,100,181387075,76.41,100.15,17.75,10.370000000000005,2.46557478418187,82.72885043163626,95.0567243525456,364160994,0.27,108.69999999999708,3.9418423263070537,5,0.32,4.671813127475026,1
MET,20190621,37.5,P,37,303,47.75,100,8093509,37.76,55.21,11.829999999999998,8.219999999999999,2.2621735281863264,43.225652943627345,54.53652058455898,338403174,0.12,45.44000000000233,2.6051579748761515,10,0.16999999999999998,3.690640464407881,1
MET,20190621,32.5,P,37,303,47.75,100,8093509,37.76,55.21,11.829999999999998,8.219999999999999,2.2621735281863264,43.225652943627345,54.53652058455898,338403147,0.06,24.33999999999651,2.43176619511905,10,0.11,4.458238024384925,10
MET,20190524,37.5,P,9,303,47.75,100,8093509,37.76,55.21,10.950000000000003,6.519999999999996,1.1204276079655295,45.509144784068944,51.11128282389659,359966910,0.04,35.110000000000575,4.6203993797271306,10,0.09,10.395898604386044,1
MMM,20190628,135.0,P,44,768,175.21,100,9720,172.79,259.77,51.66,41.589999999999975,17.629744147860098,139.95051170427982,228.09923244358032,365808990,0.21,131.6999999999971,1.3227376268378839,1,0.26,1.63767515703738,1
